type	name	abv
L	Bourbon	45
L	Rum	40
L	Vodka	40
L	Gin	40
L	Tequila	45
L	Brandy	40
L	Absinthe	65
L	Aperitif Wine	14
L	Canadian Whisky	60
L	Cognac	40
L	Irish Whiskey	70
L	Liqueur	30
L	Mezcal	45
L	Rye Whiskey	45
L	Scotch	50
L	Vermouth	16
L	Whiskey	45
L	Hennessy	45
L	Remy Martin	40
L	Patron	45
L	Jose Cuervo	45
L	Jagermeister	40
L	Fireball	40
L	Bacardi	40
L	Grey Goose	40
L	SKYY	40
L	Ketel One	40
L	Russian Standard	40
L	Absolut Vodka	40
L	Chivas Regal	45
L	Jameson	45
L	Martell	45
L	Ricard	40
L	Johnnie Walker	40
L	Smirnoff Vodka	40
L	Captain Morgan	40
L	Baileys	40
L	Crown Royal	40
L	Ciroc	40
L	J & B	40
L	Jack Daniels	40
L	Finlandia	40
L	Jim Beam	40
L	Crystal Palace	40
L	Svedka	40
L	Burnett's	40
L	Don Julio	40
L	Kraken	40
L	Malibu	40
L	Wild Turkey	40
L	Bulliet Bourbon	40
L	Blanton’s	40
L	Stranahan’s	40
L	Knob Creek	40
L	High West Distillery	40
L	Maker’s Mark	40
L	Seagram’s	40
L	Evan Williams	40
L	Black Velvet	40
L	Seagram’s 7 Crown	40
L	Beefeater	40
L	Tanqueray	40
L	Bombay Sapphire	40
L	Gordon’s	40
W	White	12.1
W	Red	13.5
W	Champagne	12
W	Asti Spumante	9
W	Blanc de Blancs	12
W	Blanc de Noirs	12
W	Cabernet Franc	12
W	Cabernet Sauvignon	14
W	Champagne	12
W	Chardonnay	14
W	Chianti	13
W	Riesling	8
W	Malbec	14
W	Marsala	18
W	Merlot	11
W	Moscato	10
W	Petit Verdot	13
W	Pinot Grigio	12
W	Pinot Noir	13
W	Port	19
W	Rose	11
W	Sauvignon Blanc	12
W	Zinfandel	14
B	Best Damn Apple Ale	4.2
B	Best Damn Cherry Cola	5.5
B	Best Damn Cream Soda	5.5
B	Best Damn Root Beer	5.5
B	Bud Ice	5.5
B	Bud Light	4.2
B	Bud Light & Clamato Chelada	4.2
B	Bud Light Apple	4
B	Bud Light Lime	4.2
B	Bud Light Platinum	6
B	Bud Light Radler	2.4
B	Budweiser	5
B	Budweiser Black Crown	6
B	Budweiser Na	0.1
B	Budweiser Select	4.3
B	Budweiser Select 55	2.4
B	Busch Beer	4.3
B	Busch Ice	5.9
B	Busch Light	4.1
B	Busch Na	0.5
B	King Cobra Premium Malt Liquor	6
B	Michelob (Original Lager)	5
B	Michelob Amberbock	5.2
B	Michelob Light	4.3
B	Michelob Ultra	4.2
B	Michelob Ultra Amber	4
B	Natty Daddy (8%)	8
B	Natural Ice	5.9
B	Natural Light	4.2
B	O'Doul's	0.5
B	Oculto	6
B	Bell's Amber Ale	5.8
B	Bell's Double Two Hearted Ale	11.5
B	Bell's Oberon Ale	5.8
B	Bell's Octoberfest Beer	5.5
B	Bell's Porter	5.6
B	Bell's Winter White Ale	5
B	Bell's Belmont Station 20Th Anniversary Ale	7.2
B	Blue Moon Belgian Pale Ale	5.4
B	Blue Moon Belgian White	5.4
B	Blue Moon White Ipa	5.9
B	Coors Banquet	5
B	Coors Light	4.2
B	George Killian's Irish Red	4.9
B	George Killian's Irish Stout	4.9
B	Keystone Ice	5.9
B	Keystone Light	4.1
B	Keystone Light Lime	4.2
B	Keystone Premium	4.4
B	Keystone V9	5.9
B	Samuel Adams Amber Bock	6
B	Samuel Adams Boston Ale	5.4
B	Samuel Adams Boston Lager	5
B	Samuel Adams Brick Red	5.2
B	Samuel Adams Cherry Chocolate Bock	5.8
B	Samuel Adams Cherry Wheat	5.3
B	Samuel Adams Hefeweizen	5.4
B	Samuel Adams Imperial Stout	9.2
B	Samuel Adams Imperial White	10.3
B	Samuel Adams Irish Red	5.8
B	Samuel Adams Octoberfest	5.3
B	Samuel Adams Old Fezziwig Ale	5.9
B	Samuel Adams Pale Ale	5.3
B	Samuel Adams Rebel Grapefruit Ipa	6.3
B	Samuel Adams Rebel Ipa	6.5
B	Samuel Adams Summer Ale	5.3
B	Samuel Adams Tropic Of Yuzu	6
B	Samuel Adams White Ale	5.2
B	Samuel Adams White Christmas	5.8
B	Samuel Adams Whitewater Ipa	5.8
B	Samuel Adams Winter Lager	5.6
B	Kokanee Glacier Beer	5
B	Kokanee Light	4
B	Labatt Blue	5
B	Labatt Blue Light	4
B	Alexander Keith's Red Amber Ale	5
B	Kona Brewing Big Island Ginger Beer	5
B	Kona Brewing Big Wave Golden Ale	4.4
B	Kona Brewing Black Sand Porter	6.5
B	Kona Brewing Castaway Ipa	6
B	Kona Brewing Coco Loco Toasted Coconut Brown Ale	5.2
B	Kona Brewing Da Grind Buzz Kona Coffee Imperial Stout	8.5
B	Kona Brewing Duke's Blonde Ale	5
B	Kona Brewing Fire Rock Pale Ale	6
B	Kona Brewing Hanalei Island Ipa	4.5
B	Kona Brewing Hula Hefeweizen	5.4
B	Kona Brewing Kanaha	4.2
B	Kona Brewing Koko Brown	5.5
B	Kona Brewing Lavaman Red Ale	5.6
B	Kona Brewing Lemongrass Luau	5
B	Kona Brewing Longboard Island Lager	4.6
B	Kona Brewing Magic Sands Mango Saison	5.5
B	Kona Brewing Mahalo	10
B	Kona Brewing Makana Aina	6.1
B	Kona Brewing Makani Wheat Ale	4.5
B	Kona Brewing Old Blowhole Barleywine	12.5
B	Kona Brewing Paddleboard Saison	7.5
B	Kona Brewing Paia Porter	6.5
B	Kona Brewing Paradise Ipa	6
B	Kona Brewing Pedaler's Pilsner	5.2
B	Kona Brewing Pineapple Ipa	6.7
B	Kona Brewing Pipeline Porter	5.4
B	Kona Brewing Steamvent Beer	6
B	Kona Brewing Vanilla Thrilla	8.2
B	Kona Brewing Wailua Wheat	5.4
B	Shock Top Belgian White	5.2
B	Shock Top Wheat Ipa	5.8
B	Corona Extra	4.6
B	Corona Light	4.1
B	Estrella	4
B	Estrella Jalisco	4.5
B	Modelo Ambar	5.2
B	Modelo Especial	4.4
B	Modelo Especial Chelada	3.5
B	Modelo Light	2.9
B	Negra Modelo	5.4
B	Pacifico Cerveza Clara	4.5
B	Pacifico Light	4.5
B	Stella Artois	5
B	Foster's Lager	5
B	Kozel Pale	4
B	Kozel Dark	3.8
B	Gambrinus	5
B	Pilsner Urquell	4.4
B	Beck's	5
B	Beck's Pale Ale	6.3
B	Peroni Hell Bier	4.7
B	Peroni Leggera	3.5
B	Peroni Mastro	4.7
B	Hoegaarden Original White Ale	4.9
B	Branik	4.1
B	Molson Canadian Ice	5.5
B	Molson Canadian Lager	5
B	Molson Canadian Light	4
B	Molson Xxx	7.3
B	Heineken Lager Beer	5
B	Dos Equis Amber Lager	4.7
B	Sol	4.5
B	Tecate	4.5
B	Tecate Light	3.9
B	Paulaner Hefe-Weizen	5.5
B	Dragon Stout	7.5
B	Red Stripe Jamaican Lager	4.7
B	Krusovice Cerne	3.8
B	Lagunitas Imperial Stout	9.9
B	Lagunitas Ipa	6.2
B	Lagunitas Lager	6.2
B	Amstel Lager	5
B	Amstel Light	3.5
B	Guinness Dublin Pale Ale	4.5
B	Guinness Dublin Porter	3.8
B	Guinness Draught	4.2
B	Guinness Nitro Ipa	5.8
B	Yuengling Black & Tan	4.7
B	Yuengling Light Lager	3.8
B	Sierra Nevada Pale Ale	5.6
B	Sierra Nevada Porter	5.6
B	Fat Tire Amber Ale	5.2
B	Fat Tire Belgian White	5.2
B	Abita Andygator	8
B	Great Lakes Edmund Fitzgerald Porter	6
B	Flying Dog Raging Bitch Ipa	8.3
B	Old Milwaukee Light	3.9
B	Old Milwaukee Ice	5.9
B	Colt 45 High Gravity Lager	8.5
B	Olympia 95% Malt	4.8
B	Pabst Blue Ribbon Ice	6
B	Founders Breakfast Stout	8.3
B	Founders Kentucky Breakfast Stout (Kbs)	11.8
B	Founders Canadian Breakfast Stout (Cbs)	11.7
B	Sapporo Premium Beer	4.9
B	Leinenkugel's Summer Shandy	4.2
B	Leinenkugel's Sunset Wheat	4.9
B	Leinenkugel's Snowdrift Vanilla Porter	6
B	Leinenkugel's Oktoberfest	5.1
B	Leinenkugel's Honey Weiss	4.9
B	Rolling Rock Extra Pale	4.6
B	Rock Light	3.6
B	Miller Lite	4.2
B	Miller High Life	4.6
B	Miller Genuine Draft	4.7
B	Icehouse	5.5
B	Olde English 800	5.9
B	Redd's Apple Ale	5
